@relation 2016_fsi_with_additional_features

@attribute Country {Somalia,'South Sudan','Central African Republic',Sudan,Yemen,Syria,Chad,'Congo Democratic Republic',Afghanistan,Haiti,Iraq,Guinea,Nigeria,Pakistan,Burundi,Zimbabwe,'Guinea Bissau',Eritrea,Niger,Kenya,'Cote dIvoire',Cameroon,Uganda,Ethiopia,Libya,Myanmar,Liberia,Mauritania,Mali,'North Korea','Congo Republic',Rwanda,Nepal,'Sierra Leone',Timor-Leste,Bangladesh,Angola,Egypt,Djibouti,Lebanon,'Burkina Faso',Mozambique,'Sri Lanka',Malawi,Swaziland,Cambodia,Iran,Gambia,Zambia,'Papua New Guinea',Togo,'Solomon Islands','Equatorial Guinea',Philippines,Laos,Madagascar,Comoros,Tajikistan,Senegal,Uzbekistan,Guatemala,Tanzania,Venezuela,'Kyrgyz Republic',Russia,Lesotho,Colombia,Honduras,'Israel and West Bank',India,Nicaragua,Benin,Georgia,Thailand,Bolivia,Algeria,Jordan,Bhutan,Turkey,Micronesia,Azerbaijan,Fiji,Turkmenistan,Ecuador,Ukraine,China,Indonesia,'Bosnia and Herzegovina',Tunisia,Morocco,Maldives,Belarus,Moldova,'Sao Tome and Principe',Paraguay,'El Salvador','Saudi Arabia',Gabon,Peru,Serbia,'Cape Verde',Ghana,Namibia,Guyana,'Dominican Republic',Vietnam,Mexico,'South Africa',Armenia,Samoa,Macedonia,Suriname,Kazakhstan,Cuba,Malaysia,Belize,Brazil,Jamaica,Cyprus,Botswana,Bahrain,Grenada,'Brunei Darussalam',Albania,Seychelles,Kuwait,'Trinidad and Tobago',Mongolia,'Antigua and Barbuda',Greece,Montenegro,Bulgaria,Panama,Romania,Hungary,Croatia,Bahamas,Oman,Barbados,Argentina,Latvia,'Costa Rica',Qatar,'Slovak Republic','United Arab Emirates',Estonia,Mauritius,Italy,Lithuania,Chile,'Czech Republic',Poland,Spain,Malta,Uruguay,'South Korea',Japan,France,'United States',Slovenia,Singapore,'United Kingdom',Portugal,Belgium,Germany,Netherlands,Austria,Luxembourg,Canada,Iceland,Sweden,Australia,Ireland,Switzerland,Denmark,'New Zealand',Norway,Finland}
@attribute Year numeric
@attribute Rank {1st,2nd,3rd,4th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th,37th,38th,39th,40th,41st,42nd,43rd,44th,46th,47th,48th,49th,50th,51st,52nd,53rd,54th,55th,56th,57th,59th,60th,61st,62nd,63rd,64th,65th,66th,67th,68th,69th,70th,71st,72nd,74th,75th,76th,77th,78th,79th,80th,81st,82nd,83rd,84th,85th,86th,88th,89th,91st,92nd,93rd,94th,95th,96th,97th,98th,101st,102nd,103rd,104th,105th,106th,107th,108th,109th,110th,111th,112th,113th,114th,115th,116th,117th,118th,119th,120th,121st,122nd,123rd,124th,125th,126th,127th,128th,129th,130th,131st,132nd,133rd,134th,135th,136th,137th,139th,140th,141st,142nd,144th,145th,146th,147th,148th,149th,150th,151st,152nd,153rd,154th,155th,156th,157th,158th,159th,160th,161st,162nd,163rd,164th,165th,166th,167th,168th,169th,170th,171st,172nd,174th,175th,176th,177th,178th}
@attribute Total {Alert,Warning,Stable,Sustainable}
@attribute 'C1: Security Apparatus' numeric
@attribute 'C2: Factionalized Elites' numeric
@attribute 'C3: Group Grievance' numeric
@attribute 'E1: Economy' numeric
@attribute 'E2: Economic Inequality' numeric
@attribute 'E3: Human Flight and Brain Drain' numeric
@attribute 'P1: State Legitimacy' numeric
@attribute 'P2: Public Services' numeric
@attribute 'P3: Human Rights' numeric
@attribute 'S1: Demographic Pressures' numeric
@attribute 'S2: Refugees and IDPs' numeric
@attribute 'X1: External Intervention' numeric
@attribute 'Literacy rate' numeric
@attribute 'Happiness Score' numeric
@attribute 'Health: Life expectancy at birth (Years / 10)' numeric
@attribute 'Crime Index' numeric
@attribute Education numeric
@attribute 'Internet users, total(\% of population)' numeric

@data
Somalia,2016,1st,Alert,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5,3.8,5.4,5.6,0,0,4.67
'South Sudan',2016,2nd,Alert,10,9.7,9.9,9.3,9,6.6,9.7,10,9.7,9.9,10,10,0,3.8,5.7,5.6,3.6,2.94
'Central African Republic',2016,3rd,Alert,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5,0,0,5.2,6.9,3.2,2.32
Sudan,2016,4th,Alert,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9,6.1,4.1,6.5,7.1,2.7,7.49
Yemen,2016,4th,Alert,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10,5,3.7,6.6,6.3,2.2,2.46
Syria,2016,6th,Alert,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10,7.7,3.1,7,6.6,3.8,0
Chad,2016,7th,Alert,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5,4.8,3.8,5.3,6.4,1.8,9.12
'Congo Democratic Republic',2016,8th,Alert,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7,0,0,6,6.9,4.9,0
Afghanistan,2016,9th,Alert,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,3.6,3.4,6.4,7.6,2.7,1.12
Haiti,2016,10th,Alert,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,5.3,4,6.3,0,4,9.06
Iraq,2016,11th,Alert,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,4,4.6,7,4.8,5.1,8.75
Guinea,2016,12th,Alert,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6,3.6,3.6,6,0,2,8.42
Nigeria,2016,13th,Alert,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5,6.8,4.9,5.4,6.4,4.7,6.99
Pakistan,2016,14th,Alert,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6,4.6,5.1,6.7,4.4,3.8,3.1
Burundi,2016,15th,Alert,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7,5.2,2.9,6.1,0,2.2,5.98
Zimbabwe,2016,16th,Alert,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,9.1,4.2,6,5.7,6.2,7.33
'Guinea Bissau',2016,17th,Alert,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5,0,0,5.7,5.3,2.5,0
Eritrea,2016,18th,Alert,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,5.9,0,6.5,5.2,2.9,4.12
Niger,2016,19th,Alert,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3,1.8,3.9,6.1,5.9,1.4,2.23
Kenya,2016,20th,Alert,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3,8.5,4.4,6.5,6.2,4.8,7.97
'Cote dIvoire',2016,21st,Alert,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4,0,0,5.7,7,3.8,0
Cameroon,2016,22nd,Alert,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8,7.9,4.5,5.8,6.1,4.6,5.03
Uganda,2016,23rd,Alert,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8,7,3.7,6.2,5.9,4.3,1.41
Ethiopia,2016,24th,Alert,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2,4.3,4.5,6.6,4.9,2,0.12
