Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Somalia,2016,1st,Alert,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5
South Sudan,2016,2nd,Alert,10,9.7,9.9,9.3,9,6.6,9.7,10,9.7,9.9,10,10
Central African Republic,2016,3rd,Alert,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5
Sudan,2016,4th,Alert,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9
Yemen,2016,4th,Alert,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10
Syria,2016,6th,Alert,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10
Chad,2016,7th,Alert,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5
Congo Democratic Republic,2016,8th,Alert,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7
Afghanistan,2016,9th,Alert,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9
Haiti,2016,10th,Alert,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9
Iraq,2016,11th,Alert,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7
Guinea,2016,12th,Alert,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6
Nigeria,2016,13th,Alert,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5
Pakistan,2016,14th,Alert,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6
Burundi,2016,15th,Alert,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7
Zimbabwe,2016,16th,Alert,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7
Guinea Bissau,2016,17th,Alert,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5
Eritrea,2016,18th,Alert,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9
Niger,2016,19th,Alert,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3
Kenya,2016,20th,Alert,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3
Cote dIvoire,2016,21st,Alert,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4
Cameroon,2016,22nd,Alert,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8
Uganda,2016,23rd,Alert,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8
Ethiopia,2016,24th,Alert,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2
Libya,2016,25th,Alert,9.6,9.4,8.3,8,5.8,6.5,9.5,7.2,9.3,5.1,8,9.7
Myanmar,2016,26th,Alert,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5
Liberia,2016,27th,Alert,6.6,8.3,6,8.3,8.6,6.9,7,9.5,6.7,9.2,8.9,9.5
Mauritania,2016,28th,Alert,7.1,8.8,7.2,7.9,7,6.6,8.2,9.2,8.1,8.9,8.2,8.2
Mali,2016,29th,Alert,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9,7,8.7,8.1,9.6
North Korea,2016,30th,Alert,8.5,8.5,6,8.9,7.7,4.1,10,8.8,9.6,7.9,4.6,9.3
